feature,importance
home_team_abbr,0
away_team_abbr,0
date,0
is_night_game,0
home_team_win,0
home_pitcher,3
away_pitcher,4
home_team_rest,4
away_team_rest,7
home_pitcher_rest,3
away_pitcher_rest,7
season,3
home_batting_batting_avg_10RA,2
home_batting_onbase_perc_10RA,3
home_batting_onbase_plus_slugging_10RA,7
home_batting_leverage_index_avg_10RA,8
home_batting_RBI_10RA,7
away_batting_batting_avg_10RA,2
away_batting_onbase_perc_10RA,3
away_batting_onbase_plus_slugging_10RA,7
away_batting_leverage_index_avg_10RA,8
away_batting_RBI_10RA,7
home_pitching_earned_run_avg_10RA,3
home_pitching_SO_batters_faced_10RA,2
home_pitching_H_batters_faced_10RA,2
home_pitching_BB_batters_faced_10RA,2
away_pitching_earned_run_avg_10RA,3
away_pitching_SO_batters_faced_10RA,2
away_pitching_H_batters_faced_10RA,2
away_pitching_BB_batters_faced_10RA,2
home_pitcher_earned_run_avg_10RA,2
home_pitcher_SO_batters_faced_10RA,2
home_pitcher_H_batters_faced_10RA,2
home_pitcher_BB_batters_faced_10RA,2
away_pitcher_earned_run_avg_10RA,2
away_pitcher_SO_batters_faced_10RA,2
away_pitcher_H_batters_faced_10RA,2
away_pitcher_BB_batters_faced_10RA,2
home_team_season,9
away_team_season,9
home_team_errors_mean,2
home_team_errors_std,2
home_team_errors_skew,0
away_team_errors_mean,2
away_team_errors_std,2
away_team_errors_skew,0
home_team_spread_mean,0
home_team_spread_std,0
home_team_spread_skew,0
away_team_spread_mean,0
away_team_spread_std,0
away_team_spread_skew,0
home_team_wins_mean,6
home_team_wins_std,0
home_team_wins_skew,0
away_team_wins_mean,6
away_team_wins_std,0
away_team_wins_skew,0
home_batting_batting_avg_mean,1
home_batting_batting_avg_std,0
home_batting_batting_avg_skew,0
home_batting_onbase_perc_mean,2
home_batting_onbase_perc_std,0
home_batting_onbase_perc_skew,0
home_batting_onbase_plus_slugging_mean,2
home_batting_onbase_plus_slugging_std,0
home_batting_onbase_plus_slugging_skew,0
home_batting_leverage_index_avg_mean,6
home_batting_leverage_index_avg_std,0
home_batting_leverage_index_avg_skew,0
home_batting_wpa_bat_mean,7
home_batting_wpa_bat_std,0
home_batting_wpa_bat_skew,0
home_batting_RBI_mean,1
home_batting_RBI_std,0
home_batting_RBI_skew,0
away_batting_batting_avg_mean,1
away_batting_batting_avg_std,0
away_batting_batting_avg_skew,0
away_batting_onbase_perc_mean,1
away_batting_onbase_perc_std,0
away_batting_onbase_perc_skew,0
away_batting_onbase_plus_slugging_mean,0
away_batting_onbase_plus_slugging_std,0
away_batting_onbase_plus_slugging_skew,0
away_batting_leverage_index_avg_mean,5
away_batting_leverage_index_avg_std,0
away_batting_leverage_index_avg_skew,0
away_batting_wpa_bat_mean,5
away_batting_wpa_bat_std,0
away_batting_wpa_bat_skew,0
away_batting_RBI_mean,2
away_batting_RBI_std,0
away_batting_RBI_skew,0
home_pitching_earned_run_avg_mean,7
home_pitching_earned_run_avg_std,0
home_pitching_earned_run_avg_skew,0
home_pitching_SO_batters_faced_mean,1
home_pitching_SO_batters_faced_std,0
home_pitching_SO_batters_faced_skew,0
home_pitching_H_batters_faced_mean,1
home_pitching_H_batters_faced_std,0
home_pitching_H_batters_faced_skew,0
home_pitching_BB_batters_faced_mean,1
home_pitching_BB_batters_faced_std,0
home_pitching_BB_batters_faced_skew,0
home_pitching_leverage_index_avg_mean,2
home_pitching_leverage_index_avg_std,0
home_pitching_leverage_index_avg_skew,0
home_pitching_wpa_def_mean,5
home_pitching_wpa_def_std,0
home_pitching_wpa_def_skew,0
away_pitching_earned_run_avg_mean,7
away_pitching_earned_run_avg_std,0
away_pitching_earned_run_avg_skew,0
away_pitching_SO_batters_faced_mean,1
away_pitching_SO_batters_faced_std,0
away_pitching_SO_batters_faced_skew,0
away_pitching_H_batters_faced_mean,1
away_pitching_H_batters_faced_std,0
away_pitching_H_batters_faced_skew,0
away_pitching_BB_batters_faced_mean,1
away_pitching_BB_batters_faced_std,0
away_pitching_BB_batters_faced_skew,0
away_pitching_leverage_index_avg_mean,2
away_pitching_leverage_index_avg_std,0
away_pitching_leverage_index_avg_skew,0
away_pitching_wpa_def_mean,5
away_pitching_wpa_def_std,0
away_pitching_wpa_def_skew,0
home_pitcher_earned_run_avg_mean,5
home_pitcher_earned_run_avg_std,0
home_pitcher_earned_run_avg_skew,0
home_pitcher_SO_batters_faced_mean,5
home_pitcher_SO_batters_faced_std,0
home_pitcher_SO_batters_faced_skew,0
home_pitcher_H_batters_faced_mean,2
home_pitcher_H_batters_faced_std,0
home_pitcher_H_batters_faced_skew,0
home_pitcher_BB_batters_faced_mean,1
home_pitcher_BB_batters_faced_std,0
home_pitcher_BB_batters_faced_skew,0
home_pitcher_leverage_index_avg_mean,7
home_pitcher_leverage_index_avg_std,0
home_pitcher_leverage_index_avg_skew,0
home_pitcher_wpa_def_mean,7
home_pitcher_wpa_def_std,0
home_pitcher_wpa_def_skew,0
away_pitcher_earned_run_avg_mean,5
away_pitcher_earned_run_avg_std,0
away_pitcher_earned_run_avg_skew,0
away_pitcher_SO_batters_faced_mean,5
away_pitcher_SO_batters_faced_std,0
away_pitcher_SO_batters_faced_skew,0
away_pitcher_H_batters_faced_mean,2
away_pitcher_H_batters_faced_std,0
away_pitcher_H_batters_faced_skew,0
away_pitcher_BB_batters_faced_mean,1
away_pitcher_BB_batters_faced_std,0
away_pitcher_BB_batters_faced_skew,0
away_pitcher_leverage_index_avg_mean,7
away_pitcher_leverage_index_avg_std,0
away_pitcher_leverage_index_avg_skew,0
away_pitcher_wpa_def_mean,7
away_pitcher_wpa_def_std,0
away_pitcher_wpa_def_skew,0
